Rank,Ranking,Combo,Stock 1,Sector 1,Stock 2,Sector 2,Stock 3,Sector 3,Stock 4,Sector 4,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,Worst Year,Worst Year %,Best Year,Best Year %,Starting Value ($),Ending Value ($),Total Profit ($),Total Return %,10Y CAGR %
46,Best Worst Year,MPC + LLY + DE + SHOP,MPC,Energy,LLY,Health Care,DE,Industrials,SHOP,Technology,30.546831544134715,18.323928973704486,52.58003687693225,18.166281412383903,44.40534218561639,61.58062338292933,56.912626600604796,16.601182760564626,60.76013473610523,23.864415698269333,2018,16.601182760564626,2020,61.58062338292933,100000.0,2226084.493468762,2126084.493468762,2126.084493468762,36.38109229383335
47,Best Worst Year,XOM + PGR + LLY + AMD,XOM,Energy,PGR,Finance,LLY,Health Care,AMD,Technology,32.625160027808235,19.474254799511424,51.34883612141418,23.37045541396231,47.85011408234393,34.07251498857961,49.23425284757882,28.582073391168773,16.56674848098625,79.88384698953273,2017,16.56674848098625,2016,79.88384698953273,100000.0,2532347.745809136,2432347.745809136,2432.347745809136,38.15045968659065
48,Best Worst Year,XOM + MRK + AMD + ANET,XOM,Energy,MRK,Health Care,AMD,Technology,ANET,Telecommunications,30.402918063992168,18.66796086610723,54.10331919389997,16.564570790365458,53.531230727395936,24.85470183232901,43.61718573176229,23.46784601907015,32.20059917765545,88.59432065184971,2022,16.564570790365458,2016,88.59432065184971,100000.0,2669763.4777601804,2569763.4777601804,2569.76347776018,38.88242107634377
49,Best Worst Year,MPC + PGR + RTX + AMD,MPC,Energy,PGR,Finance,RTX,Industrials,AMD,Technology,38.721999573863755,17.510008716781723,41.692409641424376,19.613534725762015,38.00360150177705,23.03060822077994,55.858882043533484,16.519017918631782,26.537895349116333,81.97172449775056,2018,16.519017918631782,2016,81.97172449775056,100000.0,2297598.290139029,2197598.290139029,2197.598290139029,36.81301381017643
50,Best Worst Year,PBR + IBN + LLY + TSM,PBR,Energy,IBN,Finance,LLY,Health Care,TSM,Technology,23.931938397295276,37.486997367525944,50.5572511543579,16.50205911254361,33.04312149607304,23.325237009866967,37.9303304457311,17.59703296408113,26.513433916436597,38.38230810845802,2022,16.50205911254361,2023,50.5572511543579,100000.0,1156639.526449222,1056639.526449222,1056.6395264492219,27.737909071595123
51,Best Worst Year,PBR + PGR + LLY + ADI,PBR,Energy,PGR,Finance,LLY,Health Care,ADI,Technology,16.47992210988314,22.81213084976051,49.1511060254267,28.345210664694704,29.576922440627804,17.62827546805139,26.579027723423582,18.973578466656114,26.625757395516693,43.651546175169194,2025,16.47992210988314,2023,49.1511060254267,100000.0,989229.5097359865,889229.5097359865,889.2295097359865,25.75628704371782
52,Best Worst Year,MPC + MRK + SHOP + TMUS,MPC,Energy,MRK,Health Care,SHOP,Technology,TMUS,Telecommunications,18.441345273964302,16.470624290965564,42.730596889642676,20.48861231566157,17.611406539461406,55.51973326575639,59.692246429742,17.239292266572487,44.830773711094885,32.237678273497195,2024,16.470624290965564,2019,59.692246429742,100000.0,1872704.9390598922,1772704.9390598922,1772.7049390598922,34.04386310676648
53,Best Worst Year,PBR + PGR + LLY + APH,PBR,Energy,PGR,Finance,LLY,Health Care,APH,Technology,33.06266732623356,30.933854020974678,51.18703481630784,26.58430907995421,33.07161333531288,16.432165876877953,24.978477105436916,17.677341250332912,28.25230026240854,42.38181862342725,2020,16.432165876877953,2023,51.18703481630784,100000.0,1124195.2058927924,1024195.2058927924,1024.1952058927925,27.374992925104614
54,Best Worst Year,PBR + LLY + GOOG + TMUS,PBR,Energy,LLY,Health Care,GOOG,Technology,TMUS,Telecommunications,24.506801885888258,26.589987354354104,55.985444474600705,18.38131300449455,34.420439640620025,26.286051771100556,23.064644264261077,16.816220448320028,16.40583757781163,43.365447569510444,2017,16.40583757781163,2023,55.985444474600705,100000.0,954019.1074645143,854019.1074645143,854.0191074645144,25.301337646151122
55,Best Worst Year,NEM + XOM + LLY + FTNT,NEM,Basic Materials,XOM,Energy,LLY,Health Care,FTNT,Technology,53.272608745447,24.538004512616066,16.401073438328083,17.227992894150265,68.25722802210271,18.55960863627528,26.36812568856245,20.104604252495342,17.496406263987623,24.06037439507293,2023,16.401073438328083,2021,68.25722802210271,100000.0,933652.7521237439,833652.7521237439,833.6527521237439,25.03123995601979
