Symbol,Name,Sector,Industry,Type,MarketCap,Source,SourceSymbol
VGSH,VGSH,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,VGSH
VGSR,VGSR,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,VGSR
VHT,VHT,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,VHT
VOTE,VOTE,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,VOTE
VSLU,VSLU,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,VSLU
VTV,VTV,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,VTV
VYMI,VYMI,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,VYMI
WCMI,WCMI,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,WCMI
WTV,WTV,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,WTV
XAR,XAR,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,XAR
XLE,Energy Select Sector SPDR Fund,Energy,ETF / Fund,ETF,,User ETF allowlist,XLE
XLF,Financial Select Sector SPDR Fund,Financial Services,ETF / Fund,ETF,,User ETF allowlist,XLF
XLP,Consumer Staples Select Sector SPDR Fund,Consumer Defensive,ETF / Fund,ETF,,User ETF allowlist,XLP
XLV,Health Care Select Sector SPDR Fund,Healthcare,ETF / Fund,ETF,,User ETF allowlist,XLV
XLY,Consumer Discretionary Select Sector SPDR Fund,Consumer Cyclical,ETF / Fund,ETF,,User ETF allowlist,XLY
XMHQ,XMHQ,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,XMHQ
XMVM,XMVM,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,XMVM
XSVM,XSVM,ETF / Fund,ETF / Fund,ETF,,User ETF allowlist,XSVM
